Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
Kia,Rio,2020,4.2,Diesel,Manual,289944,3,5,14877
Chevrolet,Malibu,2012,2,Hybrid,Automatic,5356,2,3,21161
Mercedes,GLA,2020,4.2,Diesel,Automatic,231440,4,2,19549
Audi,Q5,2023,2,Electric,Manual,160971,2,1,20615
Volkswagen,Golf,2003,2.6,Hybrid,Semi-Automatic,286618,3,3,5017
Toyota,Camry,2007,2.7,Petrol,Automatic,157889,4,4,12674
Honda,Civic,2010,3.4,Electric,Automatic,139584,3,1,19614
Kia,Sportage,2001,4.7,Electric,Semi-Automatic,157495,2,2,13912
Kia,Sportage,2014,2.6,Hybrid,Manual,98700,3,4,17370
Toyota,RAV4,2005,3.1,Petrol,Manual,107724,2,,11454
BMW,5 Series,2013,1.3,Hybrid,Automatic,296824,2,3,10260
Volkswagen,Golf,2009,4.5,Hybrid,Manual,42795,4,3,20027
Honda,CR-V,2007,4.8,Hybrid,Automatic,132875,3,4,18974
Hyundai,Elantra,2004,2.3,Hybrid,Semi-Automatic,188996,2,1,8435
Volkswagen,Golf,2003,2.4,Petrol,Automatic,145921,5,2,10467
Volkswagen,Golf,2007,3.2,Diesel,Automatic,60103,2,1,16970
Hyundai,Elantra,2017,2.9,Electric,Automatic,38133,5,2,25965
Volkswagen,Tiguan,2006,4.5,Electric,Manual,41161,2,2,20258
Kia,Rio,2000,3.4,Diesel,Semi-Automatic,257427,3,3,4114
Mercedes,GLA,2021,,Petrol,Manual,34640,2,1,19612
Chevrolet,Equinox,2018,1.8,Hybrid,Automatic,21261,2,1,23404
Toyota,RAV4,2000,4.6,Hybrid,Semi-Automatic,41814,2,2,15510
Toyota,RAV4,2003,2,Electric,Manual,136662,5,4,10966
Ford,Explorer,2006,2.8,Hybrid,Manual,99921,4,2,13477
Mercedes,GLA,2016,3.9,Petrol,Semi-Automatic,19868,3,4,21704
Kia,Sportage,2011,1.8,Diesel,Automatic,92188,2,4,15498
Audi,A3,2022,3.3,Electric,Manual,79350,5,3,25223
BMW,3 Series,2017,2.3,Electric,Semi-Automatic,142701,5,3,18629
BMW,3 Series,2020,4.7,Electric,Semi-Automatic,210767,3,3,22022
Chevrolet,Equinox,2013,1.9,Hybrid,Automatic,121816,4,4,17435
Hyundai,Tucson,2007,3.9,Electric,Automatic,213643,4,5,16322
Volkswagen,Passat,2008,3.5,Electric,Manual,88381,3,1,17906
Chevrolet,Impala,2017,2.3,Petrol,Automatic,183619,5,1,16322
Mercedes,GLA,2013,3.3,Electric,Semi-Automatic,80184,3,,20468
Toyota,Corolla,2010,3.2,Diesel,Automatic,132454,4,4,16012
Kia,Optima,2005,4.5,Petrol,Manual,,2,5,17024
Audi,Q5,2013,3.5,Hybrid,Semi-Automatic,263411,4,1,12654
Kia,Sportage,2000,1.4,Electric,Manual,167050,5,4,7278
Ford,Fiesta,2017,2.2,Hybrid,Manual,277363,2,4,11991
Audi,A4,2004,1,Petrol,Manual,94415,2,1,7719
Ford,Focus,2004,1.2,Electric,Manual,93645,3,3,11597
BMW,5 Series,2007,4.9,Petrol,Manual,120491,2,1,15208
Honda,Civic,2000,3.9,Hybrid,Manual,56020,2,4,13788
